characters,search_terms,search_space_size,names_by_length,unresolved_items,disambiguated_names,possible_misses,raw_keystroke_power,percent_keystroke_power,unresolved_tagged_names,disambiguated_tagged_names
0,0,462,0,462,0,461,NA,NA,11,0
1,23,462,0,461,1,439,22,4.8,10,1
2,143,462,3,407,55,319,120,26,9,2
3,312,459,6,232,229,147,172,37.2,4,7
4,384,453,9,113,346,69,78,16.9,0,11
5,399,444,14,74,385,45,24,5.2,0,11
6,402,430,39,48,411,28,17,3.7,0,11
7,371,391,72,38,421,20,8,1.7,0,11
8,303,319,72,31,426,16,4,0.9,0,11
9,233,247,68,27,428,14,2,0.4,0,11
10,169,179,56,20,431,10,4,0.9,0,11
11,116,123,36,14,435,7,3,0.6,0,11
12,82,87,19,10,437,5,2,0.4,0,11
13,64,68,18,8,439,4,1,0.2,0,11
14,48,50,12,4,441,2,2,0.4,0,11
15,37,38,7,2,442,1,1,0.2,0,11
16,30,31,6,2,442,1,0,0,0,11
17,24,25,2,2,442,1,0,0,0,11
18,23,23,3,0,443,0,1,0.2,0,11
19,20,20,2,0,443,0,0,0,0,11
20,18,18,3,0,443,0,0,0,0,11
21,15,15,4,0,443,0,0,0,0,11
22,11,11,3,0,443,0,0,0,0,11
23,8,8,3,0,443,0,0,0,0,11
24,5,5,0,0,443,0,0,0,0,11
25,5,5,1,0,443,0,0,0,0,11
26,4,4,0,0,443,0,0,0,0,11
27,4,4,0,0,443,0,0,0,0,11
28,4,4,2,0,443,0,0,0,0,11
29,2,2,1,0,443,0,0,0,0,11
30,1,1,0,0,443,0,0,0,0,11
31,1,1,0,0,443,0,0,0,0,11
32,1,1,0,0,443,0,0,0,0,11
33,1,1,0,0,443,0,0,0,0,11
34,1,1,1,0,443,0,0,0,0,11

Unresolved List
1
a | acetaminophen,acetaminophen-codeine,adderall,adenocard,adenosine,adrenalin,advil,aggrastat,albumin,albuterol,alfenta,alfentanil,allopurinol,alprazolam,altafrin,alum-mag,alvimopan,ambien,amidate,amiodarone,amitriptyline,amlodipine,amobarbital,amoxicillin-clavulanate,ampicillin-sulbactam,amytal,ancef,anectine,anti-inhibitor,antilirium,apixaban*,apresoline,arformoterol,aricept,armodafinil,ascorbic_acid,aspirin,atarax,ativan,atorvastatin,atropine,atrovent,augmentin,aveed,avelox,azithromycin
b | b&o,bactroban,belladonna-opium,benadryl,benzocaine-menthol,bisacodyl,bloxiverz,brevibloc,brevital,bridion,brivaracetam,briviact,brovana,budesonide,budesonide-formoterol,bumetanide,bumex,bupivacaine,buprenex,buprenorphine,buprenorphine-naloxone,butorphanol
c | cafcit,caffeine,calan,calcitriol,calcium,cannabidiol,carbidopa-levodopa,carboxymethylcellulose,carvedilol,cefazolin,cefepime,ceftazidime,ceftriaxone,celecoxib,cellulose,cephulac,cetirizine,chloraseptic,chlordiazepoxide,chlorhexidine,cholecalciferol,citalopram,cleocin,clindamycin,clobazam,clonazepam,clonidine,clopidogrel,cocaine,colace,compazine,concerta,cordarone,coreg,coumadin*,cozaar,crestor,cyclobenzaprine,cyclogyl,cyclomydril,cyclopentolate,cyclopentolate-phenylephrine,cyklokapron,cytomel
d | d-vi-sol,d10w,d50,d5w,darunavir,decadron,demerol,depakote,depo-testosterone,desitin,desyrel,dexamethasone,dexmedetomidine*,dextroamphetamine,dextroamphetamine-amphetamine,dextromethorphan-guaifenesin,dextrose,dextrostat,diastat,diazepam,diclofenac,dilaudid,diluent,diphenhydramine,diphenoxylate-atropine,diphtheria-pertussis(acel)-tetanus,diprivan,divalproex,docusate,dolophine,dolophoine,donepezil,dopamine,doxycycline,dronabinol,droperidol,dulcolax,duo-neb,duraclon,duragesic,dynacirc
e | effexor,elavil,electrolyte-a,eliquis*,emla,enemeez,enoxaparin,entereg,entresto,ephedrine,epidiolex,epinephrine,epoetin*,epoprostenol,erythromycin,esmolol,etomidate
f | famotidine,feiba,fentanyl,fentanyl-bupiv,ferrous,fibrinogen,flagyl,flecainide*,fleet,flexeril,flolan,flomax,flu,fluarix,flumazenil,fluzone,fortaz,fosfomycin,furosemide,fycompa
g | gabapentin,garamycin,gentamicin,geodon,glutose,glycopyrrolate,guaifenesin,guaifenesin-codeine,guanfacine
h | haldol,haloperidol,heparin,humalog,humulin,hycodan,hydralazine,hydrochlorothiazide,hydrocodone-apap,hydrocodone-homatropine,hydrocortisone,hydromorphone,hydroxyzine,hytrin
i | ibuprofen,ilotycin,inapsine,insulin,iohexol,ipratropium,ipratropium-albuterol,iron,isopto,isordil,isosorbide,isradipine
k | kcl*,kdur,keppra,ketalar,ketamine,ketorolac,klonopin,klor-con
