characters,search_terms,search_space_size,names_by_length,unresolved_items,disambiguated_names,possible_misses,raw_keystroke_power,percent_keystroke_power,unresolved_tagged_names,disambiguated_tagged_names
0,0,250,0,250,0,249,NA,NA,15,0
1,22,250,0,249,1,228,21,8.4,15,0
2,108,250,0,208,42,142,86,34.4,15,0
3,205,250,0,81,169,45,97,38.8,5,10
4,234,250,3,30,220,16,29,11.6,3,12
5,236,247,3,20,230,11,5,2,0,15
6,237,244,21,14,236,7,4,1.6,0,15
7,217,223,36,12,238,6,1,0.4,0,15
8,182,187,36,10,239,5,1,0.4,0,15
9,149,151,32,4,244,2,3,1.2,0,15
10,118,119,34,2,245,1,1,0.4,0,15
11,84,85,20,2,245,1,0,0,0,15
12,64,65,12,2,245,1,0,0,0,15
13,53,53,11,0,246,0,1,0.4,0,15
14,42,42,4,0,246,0,0,0,0,15
15,38,38,3,0,246,0,0,0,0,15
16,35,35,5,0,246,0,0,0,0,15
17,30,30,3,0,246,0,0,0,0,15
18,27,27,3,0,246,0,0,0,0,15
19,24,24,1,0,246,0,0,0,0,15
20,23,23,2,0,246,0,0,0,0,15
21,21,21,5,0,246,0,0,0,0,15
22,16,16,2,0,246,0,0,0,0,15
23,14,14,3,0,246,0,0,0,0,15
24,11,11,1,0,246,0,0,0,0,15
25,10,10,1,0,246,0,0,0,0,15
26,9,9,1,0,246,0,0,0,0,15
27,8,8,1,0,246,0,0,0,0,15
28,7,7,2,0,246,0,0,0,0,15
29,5,5,2,0,246,0,0,0,0,15
30,3,3,0,0,246,0,0,0,0,15
31,3,3,0,0,246,0,0,0,0,15
32,3,3,1,0,246,0,0,0,0,15
33,2,2,1,0,246,0,0,0,0,15
34,1,1,0,0,246,0,0,0,0,15
35,1,1,0,0,246,0,0,0,0,15
36,1,1,1,0,246,0,0,0,0,15
0,0,250,0,250,0,249,NA,NA,15,0
1,23,250,0,247,3,227,22,8.8,14,1
2,104,250,0,206,44,146,81,32.4,13,2
3,202,250,0,82,168,48,98,39.2,4,11
4,232,250,1,36,214,18,30,12,3,12
5,238,249,8,22,228,11,7,2.8,3,12
6,234,241,18,14,235,7,4,1.6,2,13
7,217,223,41,12,237,6,1,0.4,1,14
8,178,182,35,8,241,4,2,0.8,1,14
9,144,147,25,6,243,3,1,0.4,1,14
10,121,122,29,2,247,1,2,0.8,1,14
11,92,93,26,2,247,1,0,0,1,14
12,66,67,12,2,247,1,0,0,1,14
13,54,55,4,2,247,1,0,0,1,14
14,51,51,5,0,249,0,1,0.4,1,14
15,46,46,8,0,249,0,0,0,1,14
16,38,38,4,0,249,0,0,0,1,14
17,34,34,3,0,249,0,0,0,1,14
18,31,31,3,0,249,0,0,0,1,14
19,28,28,3,0,249,0,0,0,1,14
20,25,25,3,0,249,0,0,0,1,14
21,22,22,4,0,249,0,0,0,1,14
22,18,18,3,0,249,0,0,0,1,14
23,15,15,2,0,249,0,0,0,1,14
24,13,13,1,0,249,0,0,0,1,14
25,12,12,2,0,249,0,0,0,1,14
26,10,10,3,0,249,0,0,0,1,14
27,7,7,0,0,249,0,0,0,1,14
28,7,7,1,0,249,0,0,0,1,14
29,6,6,0,0,249,0,0,0,1,14
30,6,6,0,0,249,0,0,0,1,14
31,6,6,1,0,249,0,0,0,1,14
32,5,5,3,0,249,0,0,0,1,14
33,2,2,1,0,249,0,0,0,1,14
34,1,1,0,0,249,0,0,0,1,14
35,1,1,1,0,249,0,0,0,1,14
0,0,250,0,250,0,249,NA,NA,15,0
1,23,250,0,249,1,227,22,8.8,15,0
2,116,250,0,185,65,134,93,37.2,12,3
3,205,250,3,76,174,45,89,35.6,3,12
4,222,247,5,40,210,25,20,8,1,14
5,231,242,7,18,232,11,14,5.6,0,15
6,230,235,24,7,243,5,6,2.4,0,15
7,208,211,33,4,246,3,2,0.8,0,15
8,177,178,31,2,248,1,2,0.8,0,15
9,146,147,28,2,248,1,0,0,0,15
10,118,119,28,2,248,1,0,0,0,15
11,90,91,14,2,248,1,0,0,0,15
12,76,77,17,2,248,1,0,0,0,15
13,59,60,10,2,248,1,0,0,0,15
14,50,50,6,0,250,0,1,0.4,0,15
15,44,44,5,0,250,0,0,0,0,15
16,39,39,3,0,250,0,0,0,0,15
17,36,36,4,0,250,0,0,0,0,15
18,32,32,5,0,250,0,0,0,0,15
19,27,27,2,0,250,0,0,0,0,15
20,25,25,2,0,250,0,0,0,0,15
21,23,23,2,0,250,0,0,0,0,15
22,21,21,5,0,250,0,0,0,0,15
23,16,16,1,0,250,0,0,0,0,15
24,15,15,2,0,250,0,0,0,0,15
25,13,13,3,0,250,0,0,0,0,15
26,10,10,0,0,250,0,0,0,0,15
27,10,10,1,0,250,0,0,0,0,15
28,9,9,1,0,250,0,0,0,0,15
29,8,8,3,0,250,0,0,0,0,15
30,5,5,1,0,250,0,0,0,0,15
31,4,4,1,0,250,0,0,0,0,15
32,3,3,2,0,250,0,0,0,0,15
33,1,1,0,0,250,0,0,0,0,15
34,1,1,0,0,250,0,0,0,0,15
35,1,1,0,0,250,0,0,0,0,15
36,1,1,0,0,250,0,0,0,0,15
37,1,1,1,0,250,0,0,0,0,15
0,0,250,0,250,0,249,NA,NA,15,0
1,26,250,0,247,3,224,25,10,15,0
2,113,250,0,202,48,137,87,34.8,13,2
3,201,250,1,83,167,49,88,35.2,6,9
4,228,249,2,37,213,21,28,11.2,5,10
5,235,247,11,20,230,12,9,3.6,2,13
6,226,236,16,17,233,10,2,0.8,2,13
7,210,220,33,17,233,10,0,0,2,13
8,182,187,34,9,239,5,5,2,2,13
9,150,153,28,6,242,3,2,0.8,2,13
10,123,125,29,4,243,2,1,0.4,2,13
11,95,96,24,2,244,1,1,0.4,2,13
12,72,72,8,0,246,0,1,0.4,2,13
13,64,64,9,0,246,0,0,0,2,13
14,55,55,9,0,246,0,0,0,2,13
15,46,46,10,0,246,0,0,0,2,13
16,36,36,8,0,246,0,0,0,2,13
17,28,28,3,0,246,0,0,0,2,13
18,25,25,2,0,246,0,0,0,2,13
19,23,23,3,0,246,0,0,0,2,13
20,20,20,3,0,246,0,0,0,2,13
21,17,17,4,0,246,0,0,0,2,13
22,13,13,2,0,246,0,0,0,2,13
23,11,11,2,0,246,0,0,0,2,13
24,9,9,2,0,246,0,0,0,2,13
25,7,7,1,0,246,0,0,0,2,13
26,6,6,2,0,246,0,0,0,2,13
27,4,4,1,0,246,0,0,0,2,13
28,3,3,0,0,246,0,0,0,2,13
29,3,3,1,0,246,0,0,0,2,13
30,2,2,1,0,246,0,0,0,2,13
31,1,1,0,0,246,0,0,0,2,13
32,1,1,0,0,246,0,0,0,2,13
33,1,1,1,0,246,0,0,0,2,13
0,0,250,0,250,0,249,NA,NA,15,0
1,25,250,0,246,4,225,24,9.6,14,1
2,117,250,0,196,54,133,92,36.8,14,1
3,214,250,1,67,183,36,97,38.8,3,12
4,234,249,3,30,220,15,21,8.4,3,12
5,238,246,6,16,234,8,7,2.8,2,13
6,236,240,23,8,242,4,4,1.6,1,14
7,213,217,37,8,242,4,0,0,1,14
8,178,180,39,4,245,2,2,0.8,1,14
9,140,141,27,2,247,1,1,0.4,1,14
10,113,114,23,2,247,1,0,0,1,14
11,90,91,24,2,247,1,0,0,1,14
12,66,67,16,2,247,1,0,0,1,14
13,50,51,6,2,247,1,0,0,1,14
14,45,45,7,0,248,0,1,0.4,1,14
15,38,38,8,0,248,0,0,0,1,14
16,30,30,3,0,248,0,0,0,1,14
17,27,27,2,0,248,0,0,0,1,14
18,25,25,4,0,248,0,0,0,1,14
19,21,21,1,0,248,0,0,0,1,14
20,20,20,2,0,248,0,0,0,1,14
21,18,18,3,0,248,0,0,0,1,14
22,15,15,3,0,248,0,0,0,1,14
23,12,12,2,0,248,0,0,0,1,14
24,10,10,2,0,248,0,0,0,1,14
25,8,8,1,0,248,0,0,0,1,14
26,7,7,1,0,248,0,0,0,1,14
27,6,6,0,0,248,0,0,0,1,14
28,6,6,2,0,248,0,0,0,1,14
29,4,4,0,0,248,0,0,0,1,14
30,4,4,1,0,248,0,0,0,1,14
31,3,3,1,0,248,0,0,0,1,14
32,2,2,1,0,248,0,0,0,1,14
33,1,1,0,0,248,0,0,0,1,14
34,1,1,0,0,248,0,0,0,1,14
35,1,1,0,0,248,0,0,0,1,14
36,1,1,0,0,248,0,0,0,1,14
37,1,1,0,0,248,0,0,0,1,14
38,1,1,0,0,248,0,0,0,1,14
39,1,1,0,0,248,0,0,0,1,14
40,1,1,1,0,248,0,0,0,1,14
0,0,250,0,250,0,249,NA,NA,15,0
1,22,250,0,249,1,228,21,8.4,15,0
2,110,250,0,204,46,140,88,35.2,14,1
3,204,250,1,76,174,46,94,37.6,3,12
4,230,249,4,35,215,19,27,10.8,1,14
5,234,245,12,19,231,11,8,3.2,1,14
6,227,233,17,11,239,6,5,2,0,15
7,211,216,42,9,241,5,1,0.4,0,15
8,170,174,29,7,243,4,1,0.4,0,15
9,143,145,37,4,246,2,2,0.8,0,15
10,106,108,24,4,246,2,0,0,0,15
11,83,84,18,2,247,1,1,0.4,0,15
12,66,66,12,0,249,0,1,0.4,0,15
13,54,54,10,0,249,0,0,0,0,15
14,44,44,5,0,249,0,0,0,0,15
15,39,39,8,0,249,0,0,0,0,15
16,31,31,3,0,249,0,0,0,0,15
17,28,28,2,0,249,0,0,0,0,15
18,26,26,4,0,249,0,0,0,0,15
19,22,22,2,0,249,0,0,0,0,15
20,20,20,2,0,249,0,0,0,0,15
21,18,18,5,0,249,0,0,0,0,15
22,13,13,3,0,249,0,0,0,0,15
23,10,10,1,0,249,0,0,0,0,15
24,9,9,1,0,249,0,0,0,0,15
25,8,8,0,0,249,0,0,0,0,15
26,8,8,2,0,249,0,0,0,0,15
27,6,6,0,0,249,0,0,0,0,15
28,6,6,1,0,249,0,0,0,0,15
29,5,5,1,0,249,0,0,0,0,15
30,4,4,0,0,249,0,0,0,0,15
31,4,4,0,0,249,0,0,0,0,15
32,4,4,2,0,249,0,0,0,0,15
33,2,2,1,0,249,0,0,0,0,15
34,1,1,0,0,249,0,0,0,0,15
35,1,1,0,0,249,0,0,0,0,15
36,1,1,1,0,249,0,0,0,0,15
0,0,250,0,250,0,249,NA,NA,15,0
1,25,250,0,247,3,225,24,9.6,15,0
2,112,250,0,202,48,138,87,34.8,13,2
3,219,250,1,60,190,31,107,42.8,3,12
4,240,249,1,18,232,9,22,8.8,2,13
5,244,248,8,8,242,4,5,2,0,15
6,237,240,22,6,244,3,1,0.4,0,15
7,215,218,34,6,244,3,0,0,0,15
8,182,184,30,4,246,2,1,0.4,0,15
9,153,154,25,2,248,1,1,0.4,0,15
10,128,129,32,2,248,1,0,0,0,15
11,97,97,26,0,250,0,1,0.4,0,15
12,71,71,13,0,250,0,0,0,0,15
13,58,58,10,0,250,0,0,0,0,15
14,48,48,2,0,250,0,0,0,0,15
15,46,46,6,0,250,0,0,0,0,15
16,40,40,7,0,250,0,0,0,0,15
17,33,33,4,0,250,0,0,0,0,15
18,29,29,2,0,250,0,0,0,0,15
19,27,27,6,0,250,0,0,0,0,15
20,21,21,1,0,250,0,0,0,0,15
21,20,20,5,0,250,0,0,0,0,15
22,15,15,4,0,250,0,0,0,0,15
23,11,11,1,0,250,0,0,0,0,15
24,10,10,3,0,250,0,0,0,0,15
25,7,7,0,0,250,0,0,0,0,15
26,7,7,1,0,250,0,0,0,0,15
27,6,6,0,0,250,0,0,0,0,15
28,6,6,0,0,250,0,0,0,0,15
29,6,6,2,0,250,0,0,0,0,15
30,4,4,1,0,250,0,0,0,0,15
31,3,3,0,0,250,0,0,0,0,15
32,3,3,2,0,250,0,0,0,0,15
33,1,1,1,0,250,0,0,0,0,15
0,0,250,0,250,0,249,NA,NA,15,0
1,24,250,0,247,3,226,23,9.2,14,1
2,122,250,1,182,68,128,98,39.2,10,5
3,206,249,1,74,176,43,85,34,2,13
4,229,248,5,33,217,19,24,9.6,2,13
5,230,243,5,23,227,13,6,2.4,2,13
6,229,238,16,15,235,9,4,1.6,0,15
7,214,222,35,13,237,8,1,0.4,0,15
8,180,187,42,12,238,7,1,0.4,0,15
9,140,145,22,9,241,5,2,0.8,0,15
10,119,123,31,7,243,4,1,0.4,0,15
11,89,92,16,5,245,3,1,0.4,0,15
12,74,76,13,4,246,2,1,0.4,0,15
13,62,63,8,2,248,1,1,0.4,0,15
14,54,55,5,2,248,1,0,0,0,15
15,49,50,4,2,248,1,0,0,0,15
16,46,46,6,0,250,0,1,0.4,0,15
17,40,40,2,0,250,0,0,0,0,15
18,38,38,4,0,250,0,0,0,0,15
19,34,34,3,0,250,0,0,0,0,15
20,31,31,3,0,250,0,0,0,0,15
21,28,28,8,0,250,0,0,0,0,15
22,20,20,3,0,250,0,0,0,0,15
